courseid	cour_school_id	cour_school_id	cour_lang_id	cour_score_id
3552	46	4	1	0
3550	1	2	2	8
5829	0	10	1	8
345	15	1	2	9
347	35	1	2	8
340	2	2	2	8
3995	0	2	2	0
2913	42	2	2	7
2918	8	5	1	7
1791	42	2	2	0
1790	1	2	2	8
2855	0	2	2	0
2857	0	2	2	0
2856	17	1	2	0
6153	0	2	2	0
420	69	1	2	9
5469	0	1	2	0
1499	48	7	1	9
6840	9	2	2	0
6845	50	7	1	8
1700	0	4	1	7
2311	49	7	1	0
1668	52	7	1	7
912	9	2	2	8
1662	66	2	2	8
1660	66	2	2	8
1086	9	2	2	8
593	15	1	2	7
6594	12	1	2	0
198	53	1	2	8
596	53	1	2	8
4320	9	2	2	0
270	0	2	2	7
274	0	1	2	6
3877	9	2	2	0
2986	46	2	2	7
2985	14	4	2	6
2382	0	1	2	0
5501	0	1	2	0
3580	0	1	2	7
3581	0	1	2	0
448	63	1	2	8
4198	24	1	2	0
2762	0	1	1	0
1333	0	7	1	8
4359	0	1	2	0
4353	48	0	1	7
2488	1	2	2	8
2040	0	2	2	0
2041	0	0	2	8
1843	63	1	1	8
5573	0	4	1	8
2049	19	1	2	9
1536	0	2	2	8
3096	46	4	1	7
1244	72	1	2	8
6071	0	2	2	0
3095	50	1	1	8
3098	45	2	1	0
3099	0	1	2	8
1539	45	1	1	5
334	12	1	2	9
8348	9	2	2	0
1907	0	2	2	7
1902	66	2	2	0
8193	0	1	2	0
857	16	1	2	8
7412	46	4	1	0
2682	46	4	1	0
95	0	1	2	7
812	47	1	1	9
5951	9	2	2	0
1625	45	7	1	8
1624	0	1	2	6
5799	20	1	2	0
2863	54	7	1	8
3638	9	2	2	0
3636	13	1	2	0
3632	9	2	2	0
237	8	1	2	8
426	15	1	2	7
6108	49	7	1	7
2227	1	2	2	0
5922	42	2	2	0
1691	54	1	1	8
5728	2	0	2	7
1889	1	2	2	9
1882	58	7	1	7
1285	46	4	1	7
1284	1	2	1	8
1287	46	4	1	8
1280	0	8	1	8
1283	46	4	1	8
942	17	1	2	9
1288	9	2	2	0
3111	0	1	2	7
1578	26	1	1	7
5451	13	1	2	0
1573	45	2	1	8
1572	0	0	1	7
6031	38	1	2	8
6030	47	7	2	0
681	0	8	2	8
1575	1	2	2	0
1574	46	4	1	8
1300	0	0	1	7
1303	49	7	1	8
127	0	2	2	0
1308	13	1	2	8
6158	0	7	1	0
5744	0	7	1	8
5748	9	4	1	8
7958	70	1	2	0
1834	12	1	2	0
3795	26	1	2	0
3796	2	1	2	0
4985	46	4	1	0
4986	58	7	1	7
937	0	1	2	8
935	9	2	2	9
2409	46	4	1	9
4030	46	4	1	8
4034	0	7	1	0
6719	46	4	1	0
1118	0	2	2	7
6850	49	7	1	0
395	11	1	2	9
82	35	1	2	8
1822	58	7	1	7
3912	0	2	2	0
797	2	2	2	8
2308	0	7	1	0
795	0	2	2	0
1715	57	7	1	0
6786	47	7	1	7
173	62	1	2	7
2306	0	10	1	7
1659	0	2	2	0
1650	1	2	2	0
1656	1	2	2	9
5965	45	2	1	0
2289	8	1	2	7
6581	0	0	2	0
582	0	1	1	8
580	15	1	2	9
2883	45	2	1	0
1133	17	1	2	9
588	0	2	2	8
241	1	2	2	8
1432	0	0	1	6
1430	0	0	1	6
1431	0	0	1	6
518	63	1	1	9
1348	0	1	2	8
4264	58	7	1	0
1340	69	1	2	0
4183	0	0	2	6
2451	2	1	2	7
4184	66	2	2	7
4187	68	2	2	0
8290	46	4	1	0
179	45	2	1	0
4347	9	2	2	0
7911	0	1	2	0
6921	46	4	1	0
6539	0	2	2	0
977	66	2	2	8
976	0	2	2	8
975	0	2	2	0
972	9	2	2	8
2884	15	1	2	0
2056	2	1	2	0
3695	0	8	2	0
652	2	0	2	8
1507	63	1	1	9
186	1	2	1	9
1508	11	1	1	7
6504	68	2	2	0
7352	0	10	1	0
3140	1	2	2	8
16	0	1	2	9
866	6	1	2	9
3906	0	2	2	0
3901	0	2	2	0
3902	9	2	2	0
884	12	1	2	8
3113	47	7	1	8
2084	18	1	2	7
7320	58	7	1	0
7321	0	7	1	8
1619	12	1	2	8
1617	0	7	1	8
1612	1	2	1	8
1613	0	1	2	7
771	12	1	2	7
770	69	1	2	9
2875	51	7	1	8
830	63	1	2	6
3351	32	2	2	0
70	47	1	2	8
2971	0	2	2	0
6861	47	7	1	0
2238	15	1	2	8
1045	0	8	2	0
2187	46	4	1	0
668	0	1	2	8
1266	0	1	2	0
661	0	9	2	8
2097	46	4	1	8
5502	45	2	1	0
3651	13	1	2	0
3653	15	1	2	7
1545	45	3	1	8
1540	50	1	1	8
698	0	1	2	8
1549	48	7	1	9
8711	9	2	2	0
1408	69	1	1	8
549	2	1	2	8
1460	69	1	2	7
7395	9	2	2	0
2465	0	10	1	0
1315	56	2	2	8
3405	18	1	2	6
3406	2	1	2	0
128	63	1	2	9
1021	1	2	2	8
7440	34	2	2	0
7449	48	7	1	7
6567	9	4	2	0
1826	50	5	1	7
7439	65	7	1	8
2061	9	2	2	0
2062	48	7	2	8
924	1	2	2	9
3826	46	4	2	0
3279	0	8	2	8
3475	26	1	2	0
4280	12	1	2	0
3471	0	7	1	0
7366	46	4	1	0
363	9	2	2	0
381	12	1	2	8
382	12	1	2	8
6773	58	7	1	0
578	9	2	2	8
574	12	1	1	9
2190	0	1	1	7
3007	46	2	1	0
3006	56	2	2	0
3001	70	2	2	0
256	0	1	2	9
255	20	1	2	8
1422	56	2	2	8
1427	0	0	1	6
1428	0	10	1	6
1580	38	1	1	9
1586	15	1	2	0
1030	1	2	1	8
503	18	1	2	8
4270	52	7	1	8
468	0	1	2	9
636	48	7	1	9
466	59	4	2	9
6520	9	2	2	0
169	2	1	2	9
161	16	1	2	7
964	12	1	2	7
965	53	12	1	7
6353	0	2	2	0
969	68	2	2	8
6197	71	1	2	7
1519	45	7	1	8
1103	34	2	2	6
1517	46	4	1	8
6157	46	4	1	7
1510	9	4	1	9
8360	45	2	2	0
3860	12	1	2	0
4058	0	1	2	0
6556	1	2	1	0
6557	55	7	1	0
1810	58	7	1	6
6551	55	7	1	0
878	1	2	1	7
875	45	1	1	8
895	46	4	1	9
671	63	1	1	9
1247	69	1	2	9
8312	0	7	1	8
1609	0	1	2	0
1603	52	7	1	8
3548	0	7	1	8
357	0	1	2	8
356	12	1	2	8
354	12	1	2	8
2961	24	1	2	6
213	15	1	2	9
2963	24	1	2	0
2844	42	2	2	8
1783	5	1	2	8
3041	46	4	1	7
6870	0	1	2	0
1774	58	7	1	7
1776	0	2	2	7
7052	1	2	2	0
3139	1	2	2	8
7800	0	7	1	7
678	46	4	1	8
670	53	1	2	7
1099	66	2	2	8
4331	9	2	2	0
3134	9	2	2	7
267	70	1	2	9
265	0	1	2	8
264	20	1	2	8
3645	8	1	2	7
3643	8	1	2	0
3642	2	1	2	7
6014	0	2	2	0
1557	25	1	2	0
2991	43	2	2	0
56	15	1	2	8
2395	56	2	2	7
2392	47	1	2	0
2259	70	1	2	8
1413	0	17	2	8
2251	22	1	2	7
2476	46	2	2	7
981	0	2	1	0
987	9	2	2	8
116	1	2	2	9
4200	0	2	2	0
4201	66	2	2	0
118	9	2	2	0
6514	9	2	2	0
1855	48	7	1	8
1524	1	2	1	8
915	0	8	2	8
914	45	3	2	8
917	1	2	2	9
916	9	0	1	8
1258	0	1	2	8
1259	6	1	2	0
309	5	1	2	9
531	8	1	2	7
3262	45	2	1	0
3265	46	10	1	7
3466	15	1	2	0
3463	0	1	2	7
7274	65	7	1	0
2922	22	1	1	7
5947	0	2	2	0
7662	47	7	2	0
1635	59	4	1	9
567	45	2	1	8
1591	52	7	1	8
1590	58	7	1	7
225	15	1	2	8
2950	1	2	2	7
220	1	2	2	8
2217	66	2	2	8
1744	5	1	2	0
1746	56	2	2	0
1747	47	1	1	8
605	46	4	1	9
604	0	0	1	9
1485	53	1	1	7
157	12	1	2	9
1205	15	1	2	8
1207	1	2	2	9
1206	1	2	2	9
5521	0	1	2	0
1898	46	2	2	7
6342	0	2	2	0
6028	1	2	2	0
1569	1	2	2	8
1113	0	2	2	8
1115	70	2	2	7
1116	46	4	2	7
1119	72	1	2	7
1293	0	2	2	0
1290	6	1	2	7
1564	0	1	2	7
1565	12	1	2	8
1294	69	1	2	8
4278	47	1	2	0
1712	46	4	1	8
484	0	1	2	0
482	45	2	2	9
7239	0	2	2	0
6544	47	7	1	0
1809	0	7	1	0
1365	0	1	2	0
2007	9	2	2	8
475	0	1	2	8
6234	9	4	2	0
